Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",77.216000,-98.044000,0.000000,top
"C2","22u","C_0805_2012Metric",81.407000,-103.251000,90.000000,top
"C3","10u","C_0603_1608Metric",64.643000,-82.804000,0.000000,top
"C4","100n","C_0402_1005Metric",60.960000,-88.646000,90.000000,top
"C5","100n","C_0402_1005Metric",70.612000,-97.663000,180.000000,top
"C6","100n","C_0402_1005Metric",74.168000,-87.277000,-90.000000,top
"C7","100n","C_0402_1005Metric",64.742000,-84.836000,0.000000,top
"C8","10n","C_0402_1005Metric",60.960000,-92.682000,90.000000,top
"C9","1u","C_0402_1005Metric",58.956000,-98.298000,180.000000,top
"C10","1u","C_0402_1005Metric",58.956000,-99.822000,180.000000,top
"C11","100n","C_0402_1005Metric",64.643000,-98.679000,-90.000000,top
"C12","10p","C_0402_1005Metric",59.182000,-89.182000,90.000000,top
"C13","10p","C_0402_1005Metric",59.182000,-91.412000,90.000000,top
"D1","RED","LED_0603_1608Metric",84.836000,-103.479500,-90.000000,top
"FB1","120R","L_0603_1608Metric",61.468000,-99.060000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",91.943000,-89.819000,90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",80.772000,-77.216000,-90.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",65.522000,-77.216000,-90.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",62.865000,-110.363000,90.000000,top
"R1","1k5","R_0402_1005Metric",85.090000,-99.568000,90.000000,top
"R2","10k","R_0402_1005Metric",49.022000,-84.455000,90.000000,top
"R3","1k5","R_0402_1005Metric",78.486000,-89.408000,-90.000000,top
"R4","1k5","R_0402_1005Metric",64.897000,-102.108000,180.000000,top
"R5","1k5","R_0402_1005Metric",67.310000,-102.108000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",44.417000,-87.503000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",76.327000,-103.759000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",67.056000,-91.440000,0.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",56.388000,-90.424000,-90.000000,top
